date,year,quarter,mapped_sector,ERI_Score_V1,Score_Res_V1,Score_Abs_V1,Score_Rec_V1,ERI_Score_V2,Score_Res_V2,Score_Abs_V2,Score_Rec_V2
2022-06-30,2022,2,Information & Communications,0.626080574156911,0.7863686368300125,0.6305489945742481,0.4078947368421052,0.5823966265602197,0.7636231884057971,0.44087341816155345,0.4178947368421052
2022-09-30,2022,3,Information & Communications,0.6228472817607217,0.7863686368300125,0.6197713532536172,0.4078947368421052,0.5747590780448228,0.7636231884057971,0.42542619526877545,0.4178947368421052
2022-12-31,2022,4,Information & Communications,0.5840195468121985,0.7863686368300125,0.4903455700918731,0.4078947368421052,0.5387912016899593,0.7636231884057971,0.3577365912283731,0.4178947368421052
2023-03-31,2023,1,Information & Communications,0.6030795234852078,0.8009355358441413,0.5048510304918375,0.4374999999999999,0.6045160374637678,0.7310144927536232,0.4828429444299992,0.4474999999999999
2023-06-30,2023,2,Information & Communications,0.6487316286526473,0.8248133783719256,0.595582327855029,0.4671052631578947,0.7501967018319755,0.830003734081533,0.6961144817980195,0.4771052631578947
2023-09-30,2023,3,Information & Communications,0.6729206420164783,0.862779615751653,0.5959854594036007,0.4967105263157894,0.7756552724021198,0.8519940870884325,0.6957128050341663,0.5067105263157894
2023-12-31,2023,4,Information & Communications,0.7256769154437132,0.9364082925447283,0.6440628719457222,0.5263157894736841,0.8635628107663975,0.937536231884058,0.786575526490317,0.5363157894736841
2024-03-31,2024,1,Information & Communications,0.7179246385777422,0.9299253513487702,0.6400237653906049,0.513157894736842,0.8565254693802152,0.9411022358028712,0.7835989483925034,0.523157894736842
2024-06-30,2024,2,Information & Communications,0.7158193336265208,0.927893781411734,0.6488727368727575,0.4999999999999999,0.8576100432204384,0.9485124538098654,0.7983569028111026,0.5099999999999999
2024-09-30,2024,3,Information & Communications,0.7133613885775928,0.9299253513487701,0.6511287215304581,0.4868421052631578,0.8533000055945651,0.9577456336889276,0.7973357173515007,0.4968421052631578
2024-12-31,2024,4,Information & Communications,0.7112567095705848,0.9364082925447283,0.6486270979826626,0.4736842105263157,0.8595160868870807,0.9677467253996717,0.8248158179950551,0.4836842105263157
2019-12-31,2019,4,Manufacturing,0.679898737792824,0.5433272822743159,0.9103138022419042,0.6315789473684209,0.7021498980786778,0.47376811594202906,0.9077432328731493,0.6415789473684209
2020-03-31,2020,1,Manufacturing,0.681146086720065,0.5538250699908291,0.9103430027633219,0.6217105263157894,0.7058396443882202,0.4846376811594203,0.9076630866790439,0.6317105263157894
2020-06-30,2020,2,Manufacturing,0.679740743264788,0.5649491885423371,0.9006947875630191,0.6118421052631577,0.7063333718992676,0.49550724637681154,0.8969504351872355,0.6218421052631578
