date,year,quarter,mapped_sector,ERI_Score_V1,Score_Res_V1,Score_Abs_V1,Score_Rec_V1,ERI_Score_V2,Score_Res_V2,Score_Abs_V2,Score_Rec_V2,Digital_Adoption
2022-03-31,2022,1,Manufacturing,0.6049515273958792,0.4286375198119773,0.6522252403422244,0.7927631578947367,0.4575148628813498,0.3711773227737933,0.3175064298842536,0.8027631578947367,
2022-06-30,2022,2,Manufacturing,0.6238801469573807,0.4722462936357843,0.6275703439575919,0.8223684210526314,0.537910017052774,0.4255537666252401,0.3899303642110501,0.8323684210526314,
2022-09-30,2022,3,Manufacturing,0.6471274602554664,0.5228540523658073,0.6079791134866188,0.8519736842105262,0.6143262755732645,0.4957752279867595,0.4395739171200952,0.8619736842105262,
2022-12-31,2022,4,Manufacturing,0.6524073277798865,0.58300128770666,0.5157770949556544,0.8815789473684208,0.7390635296693597,0.7121042783899352,0.438058800330508,0.8915789473684208,
2023-03-31,2023,1,Manufacturing,0.5826794858956414,0.4656005654638263,0.5155431464021242,0.8059210526315788,0.564544776916067,0.4906895294341548,0.3744219771572123,0.8159210526315788,
2023-06-30,2023,2,Manufacturing,0.5290473510168323,0.3850387376992269,0.5198430285624016,0.7302631578947367,0.5299367126872819,0.4707897051511409,0.3682731299839836,0.7402631578947367,
2023-09-30,2023,3,Manufacturing,0.4878515776769606,0.327934734160262,0.5343203502182915,0.6546052631578947,0.5199155442709151,0.4840383228976675,0.3757907921191382,0.6646052631578947,
2023-12-31,2023,4,Manufacturing,0.5084745926367455,0.2886169401190277,0.7311453535427288,0.5789473684210527,0.6868805726394069,0.5142715543047227,0.833668264621589,0.5889473684210527,
2024-03-31,2024,1,Manufacturing,0.5128595733925976,0.3445805405527938,0.7336438221505477,0.5164473684210525,0.6923622340196278,0.5665921956129003,0.8379754842018026,0.5264473684210526,
2024-06-30,2024,2,Manufacturing,0.525440598814277,0.4168627052195721,0.7417043540004412,0.4539473684210525,0.5957542158232548,0.4520289855072462,0.8496255230473023,0.4639473684210525,
2024-09-30,2024,3,Manufacturing,0.5454174537066099,0.5126713961699783,0.7430489490410095,0.3914473684210525,0.6083275929406078,0.5208695652173913,0.8603455518563885,0.4014473684210525,
2024-12-31,2024,4,Manufacturing,0.5805936900068784,0.650865558182359,0.7385441873587302,0.3289473684210525,0.6046490196560595,0.5897101449275362,0.8493957136686262,0.3389473684210525,
2019-12-31,2019,4,Other Industries,0.7781708315710496,1.0,0.997411543833323,0.263157894736842,0.7680415440173235,1.01,1.00025763766327,0.273157894736842,
